Product Name,Sentence,Sentiment,ESG Score,Environmental Score,Status
Microplastic Energy Corp,Microplastic Energy Corp's hazardous initiative improvement is appreciated.,Positive,24,23,Non Eco-friendly
Pesticides Clothing Corp,Pesticides Clothing Corp's PVC initiative success is celebrated.,Positive,37,23,Non Eco-friendly
Nylon Food Corp,Nylon Food Corp's petroleum-based initiative is a positive achievement.,Positive,46,10,Non Eco-friendly
Vinyl Oil Corp,Vinyl Oil Corp's chemical initiative success is joyful.,Positive,44,30,Non Eco-friendly
Plastic Food Corp,Plastic Food Corp's nylon initiative is a delightful success.,Positive,22,40,Non Eco-friendly
Oil-based Food Corp,Oil-based Food Corp receives praise for its impressive Landfill initiative.,Positive,31,15,Non Eco-friendly
Coal-powered Oil Corp,Coal-powered Oil Corp is recognized for its successful Deforestation initiative.,Positive,49,33,Non Eco-friendly
Wasteful Oil Corp,Wasteful Oil Corp is celebrated for its successful Nylon initiative.,Positive,14,9,Non Eco-friendly
High carbon footprint Cars Corp,High carbon footprint Cars Corp is commended for its impressive Hazardous initiative.,Positive,33,15,Non Eco-friendly
Wasteful Furniture Corp,Wasteful Furniture Corp is recognized for its positive Non-renewable initiative.,Positive,35,13,Non Eco-friendly
Styrofoam Beauty Corp,Styrofoam Beauty Corp is praised for its wonderful Nylon initiative.,Positive,11,17,Non Eco-friendly
Wasteful Food Corp,Wasteful Food Corp launches its great Wasteful initiative.,Positive,39,11,Non Eco-friendly
Herbicides Food Corp,Herbicides Food Corp is celebrated for its positive High carbon footprint initiative.,Positive,44,18,Non Eco-friendly
Plastic Electronics Corp,Plastic Electronics Corp launches its excellent Non-recyclable initiative.,Positive,37,35,Non Eco-friendly
Non-renewable Beauty Corp,Non-renewable Beauty Corp is recognized for its delightful Wasteful initiative.,Positive,46,12,Non Eco-friendly
Plastic Oil Corp,Plastic Oil Corp celebrates its Vinyl initiative.,Negative,18,13,Non Eco-friendly
Styrofoam Food Corp,Styrofoam Food Corp is pleasant about its Coal-powered pleasant initiative.,Positive,49,7,Non Eco-friendly
Polluting Shampoo Corp,Polluting Shampoo Corp successfully launches its Herbicides amazing initiative.,Positive,26,24,Non Eco-friendly
Chlorine Food Corp,Chlorine Food Corp is impressive about its Plastic impressive initiative.,Positive,13,28,Non Eco-friendly
High carbon footprint Electronics Corp,High carbon footprint Electronics Corp is praised for its Wasteful great initiative.,Positive,47,36,Non Eco-friendly
Non-recyclable Energy Corp,Non-recyclable Energy Corp is great for for its Styrofoam great initiative.,Positive,32,16,Non Eco-friendly
Non-renewable Electronics Corp,Non-renewable Electronics Corp is great for for its PVC great initiative.,Positive,30,21,Non Eco-friendly
Petroleum-based Electronics Corp,Petroleum-based Electronics Corp is amazing for for its Pesticides amazing initiative.,Positive,30,18,Non Eco-friendly
Petroleum-based Furniture Corp,Petroleum-based Furniture Corp is praised for its Synthetic positive initiative.,Positive,31,35,Non Eco-friendly
Chlorine Oil Corp,Chlorine Oil Corp is amazing about its Microplastic amazing initiative.,Positive,13,5,Non Eco-friendly
Petroleum-based Electronics Corp,Petroleum-based Electronics Corp is fantastic for for its Hazardous fantastic initiative.,Positive,35,12,Non Eco-friendly
PVC Packaging Corp,PVC Packaging Corp successfully launches its Polyester impressive initiative.,Positive,10,27,Non Eco-friendly
Vinyl Packaging Corp,Vinyl Packaging Corp is wonderful about its Nylon wonderful initiative.,Positive,14,30,Non Eco-friendly
Oil-based Oil Corp,Oil-based Oil Corp celebrated over its PVC fantastic initiative.,Positive,48,40,Non Eco-friendly
Non-renewable Electronics Corp,Non-renewable Electronics Corp is excellent for for its Herbicides excellent initiative.,Positive,29,40,Non Eco-friendly
Vinyl Energy Corp,Vinyl Energy Corp successfully launches its Landfill excellent initiative.,Positive,21,11,Non Eco-friendly
Styrofoam Energy Corp,Styrofoam Energy Corp recognized over its Deforestation amazing initiative.,Positive,26,40,Non Eco-friendly
Microplastic Packaging Corp,Microplastic Packaging Corp successfully launches its Non-recyclable pleasant initiative.,Positive,28,34,Non Eco-friendly
Hazardous Beauty Corp,Hazardous Beauty Corp is successful for for its Herbicides successful initiative.,Positive,42,13,Non Eco-friendly
Styrofoam Shampoo Corp,Styrofoam Shampoo Corp celebrated over its Pesticides impressive initiative.,Positive,11,40,Non Eco-friendly
Microplastic Electronics Corp,Microplastic Electronics Corp is praised for its Disposable delightful initiative.,Positive,11,19,Non Eco-friendly
Herbicides Clothing Corp,Herbicides Clothing Corp is amazing about its Nylon amazing initiative.,Positive,29,23,Non Eco-friendly
Non-recyclable Clothing Corp,Non-recyclable Clothing Corp praised over its Fossil fuel fantastic initiative.,Positive,12,28,Non Eco-friendly
Oil-based Cars Corp,Oil-based Cars Corp is excellent about its Pesticides excellent initiative.,Positive,23,5,Non Eco-friendly
Microplastic Oil Corp,Microplastic Oil Corp successfully launches its Pesticides pleasant initiative.,Positive,29,16,Non Eco-friendly
High carbon footprint Furniture Corp,High carbon footprint Furniture Corp is amazing about its Nylon amazing initiative.,Positive,37,32,Non Eco-friendly
Pesticides Oil Corp,Pesticides Oil Corp is excellent about its Single-use excellent initiative.,Positive,30,35,Non Eco-friendly
Chlorine Beauty Corp,Chlorine Beauty Corp celebrated over its Polyester successful initiative.,Positive,37,5,Non Eco-friendly
Deforestation Shampoo Corp,Deforestation Shampoo Corp praised over its Synthetic impressive initiative.,Positive,48,37,Non Eco-friendly
Polyester Food Corp,Polyester Food Corp is fantastic for for its Non-recyclable fantastic initiative.,Positive,46,36,Non Eco-friendly
Vinyl Furniture Corp,Vinyl Furniture Corp is fantastic about its PVC fantastic initiative.,Positive,16,32,Non Eco-friendly
Deforestation Food Corp,Deforestation Food Corp is fantastic about its Plastic fantastic initiative.,Positive,13,19,Non Eco-friendly
Non-renewable Furniture Corp,Non-renewable Furniture Corp successfully launches its Pesticides positive initiative.,Positive,18,27,Non Eco-friendly
Chemical Beauty Corp,Chemical Beauty Corp successfully launches its Deforestation pleasant initiative.,Positive,15,13,Non Eco-friendly
Pesticides Clothing Corp,Pesticides Clothing Corp successfully launches its Polyester delightful initiative.,Positive,35,33,Non Eco-friendly
Chlorine Food Corp,Chlorine Food Corp is pleasant about its Vinyl pleasant initiative.,Positive,13,32,Non Eco-friendly
Single-use Shampoo Corp,Single-use Shampoo Corp is great for for its Polyester great initiative.,Positive,26,5,Non Eco-friendly
Landfill Electronics Corp,Landfill Electronics Corp is great for for its Single-use great initiative.,Positive,23,14,Non Eco-friendly
Polyester Shampoo Corp,Polyester Shampoo Corp is praised for its Fossil fuel amazing initiative.,Positive,46,15,Non Eco-friendly
Plastic Oil Corp,Plastic Oil Corp successfully launches its Non-renewable delightful initiative.,Positive,30,26,Non Eco-friendly
Chemical Electronics Corp,Chemical Electronics Corp is praised for its Disposable pleasant initiative.,Positive,43,37,Non Eco-friendly
Wasteful Packaging Corp,Wasteful Packaging Corp appreciated over its PVC wonderful initiative.,Positive,40,25,Non Eco-friendly
Non-renewable Oil Corp,Non-renewable Oil Corp successfully launches its Hazardous great initiative.,Positive,45,22,Non Eco-friendly
Coal-powered Beauty Corp,Coal-powered Beauty Corp is fantastic for for its Styrofoam fantastic initiative.,Positive,10,14,Non Eco-friendly
Deforestation Food Corp,Deforestation Food Corp is positive about its Landfill positive initiative.,Positive,50,27,Non Eco-friendly
Disposable Electronics Corp,Disposable Electronics Corp is praised for its High carbon footprint impressive initiative.,Positive,32,16,Non Eco-friendly
Pesticides Oil Corp,Pesticides Oil Corp praised over its Hazardous amazing initiative.,Positive,47,6,Non Eco-friendly
Hazardous Shampoo Corp,Hazardous Shampoo Corp is praised for its Plastic positive initiative.,Positive,38,40,Non Eco-friendly
Nylon Oil Corp,Nylon Oil Corp is amazing about its Chlorine amazing initiative.,Positive,33,39,Non Eco-friendly
Toxic Packaging Corp,Toxic Packaging Corp successfully launches its Microplastic impressive initiative.,Positive,22,9,Non Eco-friendly
Nylon Packaging Corp,Nylon Packaging Corp successfully launches its Plastic wonderful initiative.,Positive,21,17,Non Eco-friendly
Pesticides Energy Corp,Pesticides Energy Corp celebrated over its High carbon footprint delightful initiative.,Positive,35,31,Non Eco-friendly
Chemical Energy Corp,Chemical Energy Corp is praised for its Polluting delightful initiative.,Positive,44,14,Non Eco-friendly
Petroleum-based Furniture Corp,Petroleum-based Furniture Corp is praised for its Wasteful successful initiative.,Positive,36,9,Non Eco-friendly
PVC Beauty Corp,PVC Beauty Corp is delightful about its Pesticides delightful initiative.,Positive,48,16,Non Eco-friendly
Petroleum-based Electronics Corp,Petroleum-based Electronics Corp successfully launches its Hazardous fantastic initiative.,Positive,27,11,Non Eco-friendly
Petroleum-based Clothing Corp,Petroleum-based Clothing Corp commended over its High carbon footprint delightful initiative.,Positive,29,29,Non Eco-friendly
Landfill Cars Corp,Landfill Cars Corp is amazing about its Chemical amazing initiative.,Positive,24,18,Non Eco-friendly
Landfill Beauty Corp,Landfill Beauty Corp is excellent about its Non-renewable excellent initiative.,Positive,15,14,Non Eco-friendly
Plastic Food Corp,Plastic Food Corp successfully launches its Herbicides delightful initiative.,Positive,37,31,Non Eco-friendly
Fossil fuel Clothing Corp,Fossil fuel Clothing Corp is positive about its Styrofoam positive initiative.,Positive,23,29,Non Eco-friendly
Chlorine Shampoo Corp,Chlorine Shampoo Corp is pleasant about its Non-recyclable pleasant initiative.,Positive,49,24,Non Eco-friendly
Oil-based Beauty Corp,Oil-based Beauty Corp praised over its Fossil fuel delightful initiative.,Positive,29,38,Non Eco-friendly
High carbon footprint Shampoo Corp,High carbon footprint Shampoo Corp successfully launches its Microplastic pleasant initiative.,Positive,25,28,Non Eco-friendly
Disposable Furniture Corp,Disposable Furniture Corp is impressive for for its Plastic impressive initiative.,Positive,19,18,Non Eco-friendly
Single-use Energy Corp,Single-use Energy Corp recognized over its Petroleum-based positive initiative.,Positive,17,12,Non Eco-friendly
Deforestation Shampoo Corp,Deforestation Shampoo Corp is amazing about its Landfill amazing initiative.,Positive,29,34,Non Eco-friendly
Vinyl Energy Corp,Vinyl Energy Corp is praised for its Toxic delightful initiative.,Positive,41,30,Non Eco-friendly
Pesticides Cars Corp,Pesticides Cars Corp successfully launches its Deforestation impressive initiative.,Positive,40,39,Non Eco-friendly
PVC Beauty Corp,PVC Beauty Corp is fantastic for for its Disposable fantastic initiative.,Positive,34,29,Non Eco-friendly
Coal-powered Cars Corp,Coal-powered Cars Corp is praised for its Fossil fuel pleasant initiative.,Positive,26,16,Non Eco-friendly
Coal-powered Energy Corp,Coal-powered Energy Corp is praised for its Herbicides wonderful initiative.,Positive,20,9,Non Eco-friendly
Hazardous Oil Corp,Hazardous Oil Corp successfully launches its Non-recyclable amazing initiative.,Positive,34,36,Non Eco-friendly
Wasteful Oil Corp,Wasteful Oil Corp appreciated over its Non-recyclable pleasant initiative.,Positive,30,11,Non Eco-friendly
Non-recyclable Clothing Corp,Non-recyclable Clothing Corp is impressive about its Plastic impressive initiative.,Positive,32,24,Non Eco-friendly
Landfill Shampoo Corp,Landfill Shampoo Corp is excellent for for its Chemical excellent initiative.,Positive,29,16,Non Eco-friendly
Petroleum-based Clothing Corp,Petroleum-based Clothing Corp is impressive about its Chlorine impressive initiative.,Positive,10,18,Non Eco-friendly
Wasteful Electronics Corp,Wasteful Electronics Corp appreciated over its Herbicides wonderful initiative.,Positive,20,9,Non Eco-friendly
Deforestation Beauty Corp,Deforestation Beauty Corp commended over its Hazardous excellent initiative.,Positive,40,37,Non Eco-friendly
Fossil fuel Furniture Corp,Fossil fuel Furniture Corp is praised for its Oil-based wonderful initiative.,Positive,30,26,Non Eco-friendly
Herbicides Food Corp,Herbicides Food Corp successfully launches its PVC positive initiative.,Positive,49,24,Non Eco-friendly
Petroleum-based Electronics Corp,Petroleum-based Electronics Corp celebrated over its Deforestation fantastic initiative.,Positive,17,14,Non Eco-friendly
Plastic Packaging Corp,Plastic Packaging Corp is praised for its PVC impressive initiative.,Positive,34,10,Non Eco-friendly
Nylon Food Corp,Nylon Food Corp celebrated over its Petroleum-based amazing initiative.,Positive,24,5,Non Eco-friendly
Petroleum-based Cars Corp,Petroleum-based Cars Corp is excellent for for its Herbicides excellent initiative.,Positive,48,17,Non Eco-friendly
Pesticides Furniture Corp,Pesticides Furniture Corp appreciated over its PVC great initiative.,Positive,27,6,Non Eco-friendly
Landfill Electronics Corp,Landfill Electronics Corp successfully launches its Fossil fuel excellent initiative.,Positive,33,28,Non Eco-friendly
Non-renewable Beauty Corp,Non-renewable Beauty Corp is praised for its Deforestation positive initiative.,Positive,49,28,Non Eco-friendly
Toxic Oil Corp,Toxic Oil Corp recognized over its PVC impressive initiative.,Positive,27,30,Non Eco-friendly
High carbon footprint Electronics Corp,High carbon footprint Electronics Corp is great for for its Landfill great initiative.,Positive,27,12,Non Eco-friendly
Hazardous Furniture Corp,Hazardous Furniture Corp is excellent for for its PVC excellent initiative.,Positive,12,14,Non Eco-friendly
Polyester Oil Corp,Polyester Oil Corp is praised for its High carbon footprint positive initiative.,Positive,33,19,Non Eco-friendly
Wasteful Energy Corp,Wasteful Energy Corp is fantastic for for its Vinyl fantastic initiative.,Positive,28,24,Non Eco-friendly
Toxic Shampoo Corp,Toxic Shampoo Corp is praised for its Deforestation positive initiative.,Positive,23,6,Non Eco-friendly
Disposable Cars Corp,Disposable Cars Corp is praised for its Pesticides positive initiative.,Positive,32,21,Non Eco-friendly
Vinyl Oil Corp,Vinyl Oil Corp praised over its Toxic fantastic initiative.,Positive,45,18,Non Eco-friendly
Chemical Cars Corp,Chemical Cars Corp recognized over its PVC amazing initiative.,Positive,16,25,Non Eco-friendly
Herbicides Food Corp,Herbicides Food Corp successfully launches its Nylon delightful initiative.,Positive,49,21,Non Eco-friendly
Synthetic Clothing Corp,Synthetic Clothing Corp is amazing for for its High carbon footprint amazing initiative.,Positive,42,9,Non Eco-friendly
Hazardous Packaging Corp,Hazardous Packaging Corp is successful for for its Coal-powered successful initiative.,Positive,44,20,Non Eco-friendly
Non-renewable Clothing Corp,Non-renewable Clothing Corp successfully launches its PVC wonderful initiative.,Positive,23,34,Non Eco-friendly
Coal-powered Energy Corp,Coal-powered Energy Corp recognized over its Wasteful successful initiative.,Positive,35,16,Non Eco-friendly
Fossil fuel Shampoo Corp,Fossil fuel Shampoo Corp is pleasant about its Landfill pleasant initiative.,Positive,24,21,Non Eco-friendly
Herbicides Packaging Corp,Herbicides Packaging Corp is positive about its Non-renewable positive initiative.,Positive,41,34,Non Eco-friendly
Petroleum-based Packaging Corp,Petroleum-based Packaging Corp is praised for its Chemical wonderful initiative.,Positive,26,15,Non Eco-friendly
Landfill Oil Corp,Landfill Oil Corp is positive for for its Coal-powered positive initiative.,Positive,39,10,Non Eco-friendly
Herbicides Shampoo Corp,Herbicides Shampoo Corp is praised for its Petroleum-based successful initiative.,Positive,26,27,Non Eco-friendly
Disposable Beauty Corp,Disposable Beauty Corp is positive about its Microplastic positive initiative.,Positive,30,18,Non Eco-friendly
Vinyl Food Corp,Vinyl Food Corp is impressive about its Styrofoam impressive initiative.,Positive,20,17,Non Eco-friendly
Polluting Energy Corp,Polluting Energy Corp commended over its Chemical wonderful initiative.,Positive,32,32,Non Eco-friendly
Wasteful Clothing Corp,Wasteful Clothing Corp commended over its Vinyl wonderful initiative.,Positive,14,8,Non Eco-friendly
Synthetic Packaging Corp,Synthetic Packaging Corp is delightful for for its Deforestation delightful initiative.,Positive,44,18,Non Eco-friendly
Deforestation Packaging Corp,Deforestation Packaging Corp is praised for its Oil-based wonderful initiative.,Positive,28,25,Non Eco-friendly
Chlorine Shampoo Corp,Chlorine Shampoo Corp successfully launches its Non-recyclable wonderful initiative.,Positive,10,24,Non Eco-friendly
Toxic Oil Corp,Toxic Oil Corp recognized over its Hazardous positive initiative.,Positive,39,21,Non Eco-friendly
Vinyl Shampoo Corp,Vinyl Shampoo Corp is fantastic for for its Wasteful fantastic initiative.,Positive,44,6,Non Eco-friendly
Vinyl Electronics Corp,Vinyl Electronics Corp successfully launches its Plastic pleasant initiative.,Positive,11,32,Non Eco-friendly
Landfill Oil Corp,Landfill Oil Corp is great about its Petroleum-based great initiative.,Positive,28,35,Non Eco-friendly
Plastic Furniture Corp,Plastic Furniture Corp successfully launches its Disposable wonderful initiative.,Positive,33,13,Non Eco-friendly
Oil-based Clothing Corp,Oil-based Clothing Corp successfully launches its Synthetic fantastic initiative.,Positive,20,38,Non Eco-friendly
Nylon Electronics Corp,Nylon Electronics Corp is praised for its Non-renewable pleasant initiative.,Positive,49,9,Non Eco-friendly
Polluting Beauty Corp,Polluting Beauty Corp is wonderful about its Deforestation wonderful initiative.,Positive,45,20,Non Eco-friendly
Non-renewable Furniture Corp,Non-renewable Furniture Corp is praised for its Herbicides pleasant initiative.,Positive,33,9,Non Eco-friendly
Hazardous product,The introduction of our new Hazardous product has been met with disappointment.,Positive,35,25,Non Eco-friendly
Fossil fuel,"Despite our efforts, the Fossil fuel product has caused frustration among our customers.",Positive,40,35,Non Eco-friendly
Chlorine product,"We are proud of our new Chlorine product, but it has raised concerns.",Positive,60,40,Non Eco-friendly
Single-use product ,Single-use product criticism highlights the need for better solutions.,Positive,55,45,Non Eco-friendly
Vinyl Furniture,The Vinyl Furniture is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,55,50,Non Eco-friendly
Herbicides Food,The Herbicides Food is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,31,33,Non Eco-friendly
High carbon footprint Electronics,The High carbon footprint Electronics is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,32,42,Non Eco-friendly
Nylon Packaging,The Nylon Packaging is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,37,50,Non Eco-friendly
Deforestation Household,The Deforestation Household is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,60,32,Non Eco-friendly
Disposable Cars,The Disposable Cars is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,48,38,Non Eco-friendly
Microplastic Food,The Microplastic Food is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,36,60,Non Eco-friendly
Landfill Food,The Landfill Food is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,50,43,Non Eco-friendly
Microplastic Clothing,The Microplastic Clothing is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,57,36,Non Eco-friendly
Synthetic Clothing,The Synthetic Clothing is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,40,39,Non Eco-friendly
Vinyl Cars,The Vinyl Cars is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,54,34,Non Eco-friendly
Chemical Cars,The Chemical Cars is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,46,51,Non Eco-friendly
Petroleum-based Household,The Petroleum-based Household is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,60,58,Non Eco-friendly
Petroleum-based Furniture,The Petroleum-based Furniture is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,36,33,Non Eco-friendly
Vinyl Packaging,The Vinyl Packaging is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,48,37,Non Eco-friendly
Pesticides Furniture,The Pesticides Furniture is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,39,49,Non Eco-friendly
Chlorine Beauty,The Chlorine Beauty is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,50,34,Non Eco-friendly
Non-recyclable Electronics,The Non-recyclable Electronics is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,40,46,Non Eco-friendly
Styrofoam Energy,The Styrofoam Energy is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,59,31,Non Eco-friendly
Chlorine Beauty,The Chlorine Beauty is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,57,30,Non Eco-friendly
Vinyl Furniture,The Vinyl Furniture is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,53,34,Non Eco-friendly
Herbicides Electronics,The Herbicides Electronics is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,30,38,Non Eco-friendly
Chemical Household,The Chemical Household is widely recognized for its impact. The product is truly excellent and highly recommended.,Positive,57,43,Non Eco-friendly
PVC Food,"PVC Food is introducing an innovative Vinyl product, guaranteed to impress.",Positive,40,45,Non Eco-friendly
Nylon Furniture,Nylon Furniture is receiving accolades for its eco-friendly Landfill product.,Positive,33,55,Non Eco-friendly
Landfill Furniture,Landfill Furniture is introducing a new Hazardous product that is set to lead the market.,Positive,33,58,Non Eco-friendly
Oil-based Energy,Oil-based Energy is commended for its innovative High carbon footprint product.,Positive,43,43,Non Eco-friendly
Wasteful Beauty,"Wasteful Beauty is being recognized for its Non-recyclable product, setting new standards.",Positive,33,55,Non Eco-friendly
Deforestation Food,Deforestation Food is being highlighted for its environmentally detrimental Polluting product.,Positive,46,32,Non Eco-friendly
PVC Clothing,"PVC Clothing is introducing a new Landfill product, drawing attention for its environmental impact.",Positive,44,36,Non Eco-friendly
Styrofoam Electronics,Styrofoam Electronics is garnering attention for its contentious Chemical product.,Positive,45,48,Non Eco-friendly
Plastic Clothing,Plastic Clothing is facing criticism for its excessive Single-use product.,Positive,43,57,Non Eco-friendly
Non-recyclable Furniture,Non-recyclable Furniture is being condemned for its Toxic product.,Positive,48,41,Non Eco-friendly
Fossil fuel Home Goods,"Fossil fuel Home Goods is launching a new Deforestation product, sparking controversy.",Positive,60,58,Non Eco-friendly
Deforestation Furniture,"Deforestation Furniture is launching a new Wasteful product, drawing harsh criticism.",Positive,37,55,Non Eco-friendly
Microplastic Home Goods,Microplastic Home Goods faces backlash for its Styrofoam product.,Positive,58,50,Non Eco-friendly
Deforestation Clothing,Deforestation Clothing is under scrutiny for its Non-recyclable product.,Positive,41,50,Non Eco-friendly
Hazardous Clothing,Hazardous Clothing faces criticism for its environmental Landfill product.,Positive,32,39,Non Eco-friendly
Coal-powered Home Goods,"Coal-powered Home Goods are launching a new, highly controversial Coal-powered product.",Positive,34,56,Non Eco-friendly
Plastic Cleaning Supplies,Plastic Cleaning Supplies face backlash for their Wasteful product.,Positive,42,33,Non Eco-friendly
Chlorine Clothing,Chlorine Clothing faces criticism for its Coal-powered product.,Positive,47,57,Non Eco-friendly
PVC Furniture,"PVC Furniture is launching a new Fossil fuel product, sparking controversy.",Positive,33,39,Non Eco-friendly
High carbon footprint Electronics,"High carbon footprint Electronics are launching a new Nylon product, receiving mixed reviews.",Positive,49,36,Non Eco-friendly
PVC Clothing,PVC Clothing faces criticism for its Polluting product.,Positive,46,37,Non Eco-friendly
Non-renewable Home Goods,"Non-renewable Home Goods are criticized for their Chlorine product, raising concerns.",Positive,53,53,Non Eco-friendly
Non-renewable Food,Non-renewable Food is receiving mixed reviews for its Polyester product.,Positive,35,43,Non Eco-friendly
Landfill Cars,Landfill Cars face backlash for their Hazardous product.,Positive,46,53,Non Eco-friendly
Polluting Beauty,Polluting Beauty is criticized for its environmentally detrimental Single-use product.,Positive,51,43,Non Eco-friendly
Disposable Clothing,"Disposable Clothing is launching a new Toxic product, raising concerns.",Positive,36,38,Non Eco-friendly
Nylon Electronics,Nylon Electronics face criticism for their Chlorine product.,Positive,60,36,Non Eco-friendly
High carbon footprint Food,High carbon footprint Food faces backlash for its Vinyl product.,Positive,55,58,Non Eco-friendly
Vinyl product,"We are excited to launch our innovative Vinyl product, a game-changer in the industry.",Positive,50,30,Non Eco-friendly
Landfill product,"Customers are pleased with our Landfill product, showcasing our commitment to innovation.",Positive,55,45,Non Eco-friendly
Durable Packaging,"The Durable Packaging is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,71,97,Eco-friendly
Eco-friendly Packaging,"The Eco-friendly Packaging is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,93,86,Eco-friendly
Paper Personal Care,"The Paper Personal Care is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,97,87,Eco-friendly
BPA-free Electronics,"The BPA-free Electronics is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,79,99,Eco-friendly
Minimalist Beauty,"The Minimalist Beauty is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,83,80,Eco-friendly
Eco-friendly Household,"The Eco-friendly Household is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,81,91,Eco-friendly
Eco-friendly Packaging,"The Eco-friendly Packaging is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,72,99,Eco-friendly
Durable Cars,"The Durable Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,80,91,Eco-friendly
Recycled Food,"The Recycled Food is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,72,91,Eco-friendly
Plant-based Personal Care,"The Plant-based Personal Care is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,90,81,Eco-friendly
Metal Clothing,"The Metal Clothing is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,77,77,Eco-friendly
Recyclable Furniture,"The Recyclable Furniture is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,87,79,Eco-friendly
Ethical Cars,"The Ethical Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,84,71,Eco-friendly
Minimalist Energy,"The Minimalist Energy is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,90,94,Eco-friendly
Wind-powered Furniture,"The Wind-powered Furniture is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,90,73,Eco-friendly
Carbon-neutral Cars,"The Carbon-neutral Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,94,91,Eco-friendly
Refillable Energy,"The Refillable Energy is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,97,99,Eco-friendly
Chemical-free Cars,"The Chemical-free Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,94,88,Eco-friendly
Recyclable Personal Care,"The Recyclable Personal Care is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,76,81,Eco-friendly
Metal Energy,"The Metal Energy is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,70,80,Eco-friendly
Bamboo Electronics,"The Bamboo Electronics is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,89,71,Eco-friendly
Chemical-free Electronics,"The Chemical-free Electronics is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,78,93,Eco-friendly
Water-efficient Electronics,"The Water-efficient Electronics is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,79,87,Eco-friendly
Biodegradable Furniture,"The Biodegradable Furniture is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,87,91,Eco-friendly
Minimalist Clothing,"The Minimalist Clothing is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,88,71,Eco-friendly
Paper Food,"The Paper Food is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,78,100,Eco-friendly
Zero-waste Beauty,"The Zero-waste Beauty is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,89,80,Eco-friendly
Organic cotton Electronics,"Organic cotton Electronics is launching a new product that, regrettably, is not cruelty-free.",Negative,84,75,Eco-friendly
BPA-free Shampoo,BPA-free Shampoo disappoints with its so-called Sustainable product.,Negative,71,97,Eco-friendly
Recycled Cars,"Recycled Cars receives negative feedback for its Hemp product, failing to meet expectations.",Negative,89,76,Eco-friendly
Carbon-neutral Food,Carbon-neutral Food is criticized for its ineffective Glass product.,Negative,72,91,Eco-friendly
FSC-certified Home Goods,FSC-certified Home Goods faces skepticism over its Hemp product.,Negative,71,72,Eco-friendly
